trad	simp	py	eng	fra
徵	徵	zhi3	/4th note in the ancient Chinese pentatonic scale 五音[wu3 yin1], corresponding to sol/	
忒	忒	te4	/to err/to change/	
忒	忒	tei1	/(dialect) too/very/also pr. [tui1]/	/excès/
忞	忞	min2	/to encourage oneself/	/s'encourager/
忞	忞	min3	/ancient variant of 暋[min3]/	
忞	忞	wen3	/disorderly/messy/chaotic/	/désordonné/chaotique/
忪	忪	song1	/used in 惺忪[xing1song1]/	
忪	忪	zhong1	/restless/agitated/	/agité/inquiet/
忬	忬	shu1	/old variant of 舒[shu1]/old variant of 紓|纾[shu1]/	
忬	忬	yu4	/old variant of 豫[yu4]/	
恁	恁	nen4	/to think/this/which?/how? (literary)/Taiwan pr. [ren4]/	
恁	恁	nin2	/old variant of 您[nin2]/	
恁	恁	ren4		/tellement/
悄	悄	qiao1	/used in 悄悄[qiao1 qiao1]/	
悄	悄	qiao3	/quiet/sad/	/triste/silencieux/
惝	惝	chang3	/disappointed/listless/frightened/also pr. [tang3]/	/apathique/effrayé/
惝	惝	tang3		/déçu/désappointé/désenchanté/
惡勢力	恶势力	e4 shi4 li4	/evil forces/criminal elements/	/forces du mal/
惡勢力	恶势力	e4 shi4 li5		/forces du mal/éléments criminels/
惡心	恶心	e3 xin1	/nausea/to feel sick/disgust/nauseating/to embarrass (deliberately)/	
惡心	恶心	e4 xin1	/bad habit/vicious habit/vice/	/nausée/se sentir malade/dégout/nauséabond/écoeurant/
慬	慬	jin3		/courageux/prudent/triste/
慬	慬	qin2	/(literary) brave/worried/distressed/	
應允	应允	ying1 yun3	/to give one's assent/to consent/Taiwan pr. [ying4 yun3]/	
應允	应允	ying4 yun3		/consentir/
應城	应城	ying1 cheng2		/Yingcheng (Hubei)/
應城	应城	ying4 cheng2	/Yingcheng, county-level city in Xiaogan 孝感市[Xiao4 gan3 shi4], Hubei/	
應城市	应城市	ying1 cheng2 shi4		/Yingcheng (Hubei)/
應城市	应城市	ying4 cheng2 shi4	/Yingcheng, county-level city in Xiaogan 孝感[Xiao4 gan3], Hubei/	
戀父情結	恋父情结	lian4 fu3 qing2 jie2		/complexe d'Electre/
戀父情結	恋父情结	lian4 fu4 qing2 jie2	/Electra complex/	/complexe d'Électre/
戇	戆	gang4	/stupid (Wu dialect)/	
戇	戆	zhuang4	/simple/honest/	/simple/honnête/
戌	戌	qu5	/used in 屈戌兒|屈戌儿[qu1 qu5 r5]/	
戌	戌	xu1	/11th earthly branch: 7-9 p.m., 9th solar month (8th October-6th November), year of the Dog/ancient Chinese compass point: 300°/	/11e des 12 Rameaux terrestres (19h-21h)/
戛納	戛纳	ga1 na4	/Cannes (France)/	
戛納	戛纳	jia2 na4		/Cannes/
戰斗部	战斗部	zhan4 dou3 bu4		/ogive/
戰斗部	战斗部	zhan4 dou4 bu4	/warhead/	/ogive/
所長	所长	suo3 chang2	/what one is good at/	
所長	所长	suo3 zhang3	/head of an institute etc/	/ce en quoi on est bon/ce en quoi on excelle/le point fort de qqn/
扁	扁	bian3	/flat/(coll.) to beat (sb) up/old variant of 匾[bian3]/	/plat (adj.) (arch.)/
扁	扁	pian1	/surname Pian//(bound form) small/	
手卷	手卷	shou3 juan3	/temaki (a nori cone filled with sushi)/	
手卷	手卷	shou3 juan4	/hand scroll/	
扎	扎	zha1	"/to prick/to run or stick (a needle etc) into/mug or jug used for serving beer (loanword from ""jar"")/"	
扎	扎	zha2	/used in 掙扎|挣扎[zheng1 zha2]/	/monter (une tente)/
扒拉	扒拉	ba1 la5	/(coll.) to push lightly/to flick to one side/to get rid of/	
扒拉	扒拉	pa2 la5	/(coll.) to push food from one's bowl into one's mouth with chopsticks (usu. hurriedly)/	
払	払	fan3	/to take/to fetch/	
払	払	fu2	/Japanese variant of 拂[fu2]/	
托兒	托儿	tuo1 er2	/childcare/	/garde d'enfants/
托兒	托儿	tuo1 r5	/(coll.) shill; tout; phony customer who pretends to buys things so as to lure real customers/	
扛	扛	gang1	/to raise aloft with both hands/(of two or more people) to carry sth together/	
扛	扛	kang2	/to carry on one's shoulder/(fig.) to take on (a burden, duty etc)/	/porter sur l'épaule/
扢	扢	gu3	/clean/to rub/	/câpre/
扢	扢	xi4	/sprightful/	
折	折	she2	/to snap/to break (a stick, a bone etc)/(bound form) to sustain a loss (in business)/	/pliement/pliage/plissage/
折	折	zhe1	/to turn sth over/to turn upside down/to tip sth out (of a container)/	/retourner qch/tourner à l'envers/
折	折	zhe2	/to break/to fracture/to snap/to suffer loss/to bend/to twist/to turn/to change direction/convinced/to convert into (currency)/discount/rebate/tenth (in price)/classifier for theatrical scenes/to fold/accounts book/	
拂	拂	bi4	/old variant of 弼[bi4]/	
拂	拂	fu2	/to flick/to brush off/(of a breeze) to brush lightly over/(literary) to run counter to/	/caresser/essuyer/
拈	拈	nian1	/to nip/to grasp with the fingers/to fiddle with/Taiwan pr. [nian2]/	/saisir avec les doigts/prendre du bout des doigts/
拈	拈	nian2		/saisir avec les doigts/prendre du bout des doigts/
拍打	拍打	pai1 da3		/fouettement/battage/fouetter/battre/
拍打	拍打	pai1 da5	/to pat/to slap/(of a bird) to flap (one's wings)/	/tapoter/gifler/battre (des ailes)/
拖拽	拖拽	tuo1 ye4	/to pull/to drag/to haul/	/tirer/traîner/
拖拽	拖拽	tuo1 zhuai4		/tirer/entrainer/
拱手相讓	拱手相让	gong1 shou3 xiang1 rang4		/(expr. idiom.) s'incliner et céder/renoncer à qch facilement/
拱手相讓	拱手相让	gong3 shou3 xiang1 rang4	/lit. to bow and give way (idiom)/fig. to surrender sth readily/	
拶	拶	za1	/(literary) to force; to coerce/	
拶	拶	zan3	/to press or squeeze hard/	/appuyer fort/presser avec force/
拽	拽	ye4	/to drag/to haul/	
拽	拽	zhuai1	/to throw/to fling/	
拽	拽	zhuai3	/alternate writing of 跩[zhuai3]/	
拽	拽	zhuai4	/to pull/to tug at (sth)/	/tirer/entrainer/
持槍搶劫	持枪抢劫	chi2 qiang1 qiang1 jie2		/vol à main armée/
持槍搶劫	持枪抢劫	chi2 qiang1 qiang3 jie2	/armed robbery/	/vol à main armée/
挑嘴	挑嘴	tiao1 zui3	/picky about food/	
挑嘴	挑嘴	tiao3 zui3	/to sow discord/	/semer la discorde/exigeant sur la nourriture/
捭	捭	bai3	/to spread out/to open/	/ouvrir/diviser/
捭	捭	bai4		/mauvaise herbe/
捭	捭	bo4	/variant of 擘[bo4]/to separate/to split/	
据	据	ju1	/used in 拮据[jie2 ju1]/	
据	据	ju4	/variant of 據|据[ju4]/	
捼	捼	nuo2		/frotter/froisser/
捼	捼	ruo2	/to rub/to crumple/	/frotter/froisser/
捽	捽	zu2		/saisir/
捽	捽	zuo2	/to seize/Taiwan pr. [zu2]/	/saisir/
排	排	pai2	/a row/a line/to set in order/to arrange/to line up/to eliminate/to drain/to push open/platoon/raft/classifier for lines, rows etc/	/disposer/arranger/expulser/rejeter/chasser/pousser/file/peloton/rangée/radeau/
排	排	pai3		/charrette à 2 roues/
排檔	排档	pai2 dang3		/(boite de) vitesse (de voiture etc)/engrenage/stand (de marché etc.)/
排檔	排档	pai2 dang4	/stall (of market etc)/	/petit commerce ambulant/
掤	掤	bing1	/arrow-quiver cover/	
掤	掤	peng2	/to ward off (in tai chi)/	
掱	掱	pa2	/variant of 扒[pa2] in 扒手[pa2 shou3]/	
掱	掱	shou3	/variant of 手[shou3] in 扒手[pa2 shou3]/	/pickpocket/voleur à la tire/
提	提	di1	/used in 提防[di1 fang5] and 提溜[di1 liu5]/	
提	提	ti2	/to carry (hanging down from the hand)/to lift/to put forward/to mention/to raise (an issue)/upwards character stroke/lifting brush stroke (in painting)/scoop for measuring liquid/	/porter qch à la main/lever/hausser/avancer/poser une question/mentionner/
提子	提子	ti2 zi3	/to capture stones (in Go)/	/capturer un pion (jeu de Go)/
提子	提子	ti2 zi5	/grape/raisin/	
提防	提防	di1 fang2		/se prémunir contre/se méfier/vigilant/
提防	提防	di1 fang5	/to guard against/to be vigilant/watch you don't (slip)/Taiwan pr. [ti2 fang2]/	
揪揪	揪揪	jiu1 jiu1		/froissé/fripé/
揪揪	揪揪	jiu1 jiu5	/creased; wrinkled/depressed; worried; upset/	
搵	揾	wen3	/to look for (Cantonese)/Mandarin equivalent: 找[zhao3]/	
搵	揾	wen4	/(literary) to wipe away (tears)/to press with one's fingers/to soak/	/presser avec ses doigts/essuyer/
摎	摎	jiu1	/to strangle/to inquire into/	/étrangler/enquêter sur/
摎	摎	liao2		/étrangler/enquêter sur/
摑	掴	guai1	/to slap/also pr. [guo2]/	/gifler/
摑	掴	guo2		/gifler/
摸	摸	mo1	/to feel with the hand/to touch/to stroke/to grope/to steal/to abstract/	/toucher/tâtonner/caresser/chercher (avec les doigts)/
摸	摸	mo2	/variant of 摹[mo2]/	
摽	摽	biao1	/(literary) to wave away; to discard/	/signaler/signe/signal/
摽	摽	biao4	/to bind tightly/to link (arms)/to hang around with; to stick close to (sb)/to compete/(literary) to hit; to beat/	/lier (les bras)/traîner avec/se tenir près de qqn/rivaliser/(lit.) battre/
摽	摽	piao3		/tomber/
撒哈拉沙漠	撒哈拉沙漠	sa1 ha1 la1 sha1 mo4	/Sahara Desert/	/désert du Sahara/
撒哈拉沙漠	撒哈拉沙漠	sa3 ha1 la1 sha1 mo4		/désert du Sahara/
撒囈掙	撒呓挣	sa1 yi4 zheng1		/somnifère/parler ou bouger en dormant/somnambule/
撒囈掙	撒呓挣	sa1 yi4 zheng5	/(coll.) to talk in one's sleep; to sleepwalk/	
撒手不管	撒手不管	sa1 shou3 bu4 guan3	/to stand aside and do nothing (idiom)/to take no part in/	/(expr. idiom.) rester à l'écart et ne rien faire/
撒手不管	撒手不管	sa3 shou3 bu4 guan3		/(expr. idiom.) rester à l'écart et ne rien faire/ne pas prendre part à/
播種	播种	bo1 zhong3	/to sow seeds/	/semer/ensemencer/
播種	播种	bo1 zhong4	/to grow (maize etc) from seed/to plant (maize etc) by sowing seed/	
撲棱	扑棱	pu1 leng1	/(onom.) fluttering or flapping of wings/	
撲棱	扑棱	pu1 leng5	/(of wings, curtain etc) to flap; to flutter/	
擇	择	ze2	/to select/to choose/to pick over/to pick out/to differentiate/to eliminate/also pr. [zhai2]/	/choisir/sélectionner/
擇	择	zhai2		/choisir/sélectionner/
擺設	摆设	bai3 she4	/to set out/to display/to furnish (a room or house)/	/ameublement/bibelots/objets décoratifs/garnir/décorer/
擺設	摆设	bai3 she5	/ornament/decorative item/(fig.) sth that is merely for show/	
擿	擿	ti1	/to select/to nitpick/to expose/	/sélectionner/pinailler/exposer/
擿	擿	zhi4	/to scratch/old variant of 擲|掷[zhi4]/	
支吾	支吾	zhi1 wu2	/to resist/to deal with/	/résister/faire face à/
支吾	支吾	zhi1 wu5	/to respond evasively or vaguely/to elude/to stall/	
支子	支子	zhi1 zi3	/son of a concubine or son of the wife other than her first/	
支子	支子	zhi1 zi5	/support/stand/trivet/(cooking utensil) gridiron/(variant of 梔子|栀子[zhi1 zi5]) cape jasmine/	
攴	攴	bu1		/toquer/(66e radical)/
攴	攴	pu1	/to tap/to knock lightly/old variant of 撲|扑[pu1]/	
攵	攵	bu1		/ne pas/négation/
攵	攵	pu1	/variant of 攴[pu1]/	
放倒	放倒	fang4 dao3	/to knock over; to knock down; to lay flat; to fell; to bring down/	
放倒	放倒	fang4 dao4		/incliner/
教化	教化	jiao4 hua1		/endoctrinement/
教化	教化	jiao4 hua4	/to enlighten/to civilize/to indoctrinate/to train (an animal)/	/éclairer/civiliser/endoctriner/dresser/
教學	教学	jiao1 xue2	/to teach (as a professor)/	
教學	教学	jiao4 xue2	/teaching; instruction/CL:次[ci4]/	/enseignement/
散亂	散乱	san3 luan4	/in disorder/messy/Taiwan pr. [san4 luan4]/	
散亂	散乱	san4 luan4		/en désordre/désordre/
散光	散光	san3 guang1	/astigmatism/	/astigmatisme/
散光	散光	san4 guang1	/to diffuse light/	
散工	散工	san3 gong1	/day labor/piece-time work/	/travail occasionnel/travaux divers/travail à la tâche/tâcheron/journalier (n.m)/
散工	散工	san4 gong1	/to release from work at the end of the day/	
散落	散落	san3 luo4	/to lie scattered (over an area)/Taiwan pr. [san4 luo4]/	
散落	散落	san4 luo4	/to disperse/to fall scattered/to sprinkle/	/disperser/tomber de façon dispersée/saupoudrer/
散錢	散钱	san3 qian2	/small sum of money/loose change/Cantonese equivalent of 零錢|零钱[ling2 qian2]/	/petite somme d'argent/petite monnaie/
散錢	散钱	san4 qian2	/to scatter money/to give to charity/	
斂	敛	lian3	/(literary) to hold back/(literary) to restrain; to control (oneself)/to collect; to gather/Taiwan pr. [lian4]/	
斂	敛	lian4	/variant of 殮|殓[lian4]/	/retenir/collecter/
文本框	文本框	wen2 ben3 kuang1		/zone de texte/
文本框	文本框	wen2 ben3 kuang4	/text box (computing)/	/zone de texte (inform.)/
斢	斢	tiao3	/(dialect) to exchange/to replace/	
斢	斢	tou3	/yellow (archaic)/	
斷行	断行	duan4 hang2	/line break (computing)/	/saut de ligne/
斷行	断行	duan4 xing2	/to carry out resolutely/	
旄	旄	mao2	/banner decorated with animal's tail/	/queue de yack servant d'étendard/
旄	旄	mao4	/variant of 耄[mao4]/	
旋子	旋子	xuan2 zi5	/torsor (math.)/	/torseur (math.)/
旋子	旋子	xuan4 zi5	/whirlwind somersault (in gymnastics or martial arts)/	
明兒個	明儿个	ming2 r ge5		/(famil.) demain/
明兒個	明儿个	ming2 r5 ge5	/(coll.) tomorrow/	
昨兒個	昨儿个	zuo2 r ge5		/(famil.) hier/
昨兒個	昨儿个	zuo2 r5 ge5	/(coll.) yesterday/	
晥	晥	han4		/province de l'Anhui/
晥	晥	wan3	/old variant of 皖[Wan3]/	
曝光	曝光	bao4 guang1	/to expose (photography)/(fig.) to expose (a scandal)/(advertising) exposure/Taiwan pr. [pu4 guang1]/	/exposer (photographie)/exposer au grand jour (scandale, qqn)/visibilité (publicité)/
曝光	曝光	pu4 guang1		/paramètres d'exposition/
有的放矢	有的放矢	you3 de5 fang4 shi3		/(expr. idiom.) décocher sa flèche en visant la cible/agir avec un objectif précis/
有的放矢	有的放矢	you3 di4 fang4 shi3	/lit. to have a target in mind when shooting one's arrows (idiom)/fig. to have a clear objective/	
朓	朓	tiao3	/(literary) the appearance of the moon in the west at the end of a lunar month/	
朓	朓	tiao4		/roussi/lune de l'ouest avant le lever du soleil/
朮	朮	shu4	/variant of 術|术[shu4]/	
朮	朮	zhu2	/variant of 術|术[zhu2]/	
杠	杠	gang1	/flagpole/footbridge/	/mât/passerelle/
杠	杠	gang4	/variant of 槓|杠[gang4]/	
杷	杷	ba4	/handle or shaft (of an axe etc)/hoe/to harrow/	
杷	杷	pa2	/used in 枇杷[pi2 pa5]/	/râteau/
林八哥	林八哥	lin2 ba1 ge1		/Acridotheres grandis/
林八哥	林八哥	lin2 ba1 ge5	/(bird species of China) great myna (Acridotheres grandis)/	
果實累累	果实累累	guo3 shi2 lei2 lei2	/lit. prodigious abundance of fruit (idiom)/fruit hangs heavy on the bough/fig. countless accomplishments/one great result after another/	/(expr. idiom.) prodigieuse abondance de fruits/fertile/innombrables réalisations/un grand résultat après l'autre/
果實累累	果实累累	guo3 shi2 lei3 lei3		/(expr. idiom.) des fruits abondants/porter beaucoup de fruits/
柏	柏	bai3	/surname Bai/Taiwan pr. [Bo2]//cedar/cypress/Taiwan pr. [bo2]/	
柏	柏	bo2	/(used for transcribing names)/	/(utilisé dans la transcription phonétique des noms)/
柏	柏	bo4	/variant of 檗[bo4]/	/cèdre/cyprès/
柔順劑	柔顺剂	rou2 shun4 ji4	/fabric softener/	/assouplissant/adoucissant/
柔順劑	柔顺剂	rou2 xun4 ji4		/adoucissant/
柜	柜	gui4	/variant of 櫃|柜[gui4]/	
柜	柜	ju3	/Salix multinervis/	/variété de saule (botanique)/
框框	框框	kuang4 kuang4		/formule/stéréotype/
框框	框框	kuang4 kuang5	/a frame; a circle/set pattern; convention; restriction/	
椿	椿	chun1	/Chinese toon (Toona sinensis)/tree of heaven (Ailanthus altissima)/(literary metaphor) father/	/cédrèle ou acajou de Chine/
椿	椿	chun2		/cédrèle ou acajou de Chine/arbre du ciel/
楞	楞	leng2	/variant of 稜|棱[leng2], corner/square beam/edge/arris (curve formed by two surfaces meeting at an edge)/used in 楞迦[Leng2 jia1], Sri Lanka/	
楞	楞	leng4	/variant of 愣[leng4]/to look distracted/to stare blankly/distracted/blank/	/arête/bord/
楽	楽	le4	/Japanese variant of 樂|乐[le4]/	
楽	楽	yue4	/Japanese variant of 樂|乐[yue4]/	
榜	搒	bang4	/to row/oar/Taiwan pr. [beng4]/	
榜	搒	peng4	/to whip/Taiwan pr. [beng4]/	/tenir la barre/ramer/
槭	槭	qi1		/érable/sycomore/
槭	槭	qi4	/maple/also pr. [zu2]/Taiwan pr. [cu4]/	/érable/
樅	枞	cong1	/fir tree/	/sapin/
樅	枞	zong1	/used in 樅陽|枞阳[Zong1yang2]/	
樆	樆	chi1	/manjack or cordia (genus Cordia)/	
樆	樆	li2	/rowan or mountain ash (genus Sorbus)/	/sorbier ou montagne de cendre (genus sorbus)/
樏	樏	lei2	/(archaic) simple sedan chair for traveling in the mountains/(archaic) platter with compartments for food (also pr. [lei3])/	
樏	樏	lei3	/mountain-climbing shoes/	/chaussures d'alpinisme/chaussures d'escalade/
樘	樘	cheng3	/a pillar/	
樘	樘	tang2	/pillar/door post/door or window frame/classifier for doors or windows/	
樹蔭	树荫	shu4 yin1	/shade of a tree/Taiwan pr. [shu4 yin4]/	
樹蔭	树荫	shu4 yin4		/ombre d'un arbre/
機殼	机壳	ji1 ke2		/tour (inform.)/boitier (machine)/
機殼	机壳	ji1 qiao4	/case, casing, cabinet or housing (of a computer, photocopier etc)/	/boitier/armoire/cabinet/
橾	橾	qiao1	/old variant of 鍬|锹[qiao1]/	
橾	橾	shu1	/the hole in the center of a wheel accommodating the axle (archaic)/	
檔	档	dang3	/(Tw) gear (variant of 擋|挡[dang3])/	
檔	档	dang4	/(bound form) shelves (for files); pigeonholes/(bound form) files/crosspiece (of a table etc)/(bound form) (of goods) grade/vendor's open-air stall/(Tw) timeslot for a show or program/classifier for shows/classifier for events, affairs etc/Taiwan pr. [dang3]/	/dossier/archives/barreau/traverse/classe/qualité/
檜	桧	gui4	/Chinese juniper (Juniperus chinensis)/(old) coffin lid decoration/Taiwan pr. [kuai4]/	/cyprès/
檜	桧	hui4	/used in 秦檜|秦桧[Qin2 Hui4]/Taiwan pr. [Kuai4]/	
檳	槟	bin1		/noix d'arec/bétel/
檳	槟	bing1	/betel palm (Areca catechu)/betel nut/Taiwan pr. [bin1]/	/areca/
檵	檵	ji4	/fringe flower (Loropetalum chinense), evergreen shrub/	
檵	檵	qi3	/variant of 杞[qi3], wolfberry shrub (Lycium chinense)/	
欸	欸	ai1	/(indicating response)/(sadly sighing)/also pr. [ei4]/	
欸	欸	ai3	/(literary) to rebuke loudly/(literary) to sigh/	/ohé !/
欸	欸	ei1	/hey (used to draw attention)/	
欸	欸	ei2	/eh; huh (used to express surprise)/	
欸	欸	ei3	/hmm (used to express disapproval)/	
欸	欸	ei4	/yes (used to express agreement)/	
欻	欻	chua1	/(onom.) crashing sound/	/(onom.) patatras !/
欻	欻	hu1		/tout à coup/soudainement/
欻	欻	xu1	/suddenly/also pr. [hu1]/	/tout à coup/soudainement/
歛	歛	han1	/to desire/to give/	
歛	歛	lian3	/variant of 斂|敛[lian3]/	
歛	歛	lian4		/organiser/contrôler/
正角	正角	zheng4 jiao3	/positive angle/	/angle positif/
正角	正角	zheng4 jue2	/good guy (in a story)/hero/	
歪	歪	wai1	/askew/at a crooked angle/devious/noxious/(coll.) to lie on one's side/	/de travers/malhonnête/sournois/
歪	歪	wai3	/to sprain (one's ankle) (Tw)/	
歺	歺	can1	/second-round simplified character for 餐[can1]/	
歺	歺	dai3	/old variant of 歹[dai3]/	
殭屍粉	僵尸粉	jiang1 shi1 fen3	"/""zombie fans"", fake followers that can be bought to boost one's popularity on Weibo, Baidu etc/"	
殭屍粉	僵尸粉	jiang1 shi3 fen3		/fan zombie (faux fan acheté sur les réseaux sociaux)/
比	比	bi1	/euphemistic variant of 屄[bi1]/	
比	比	bi3	/Belgium/Belgian/abbr. for 比利時|比利时[Bi3 li4 shi2]//to compare/(followed by a noun and adjective) more {adj.} than {noun}/ratio/to gesture/(Taiwan pr. [bi4] in some compounds derived from Classical Chinese)/	/par rapport à/en comparaison avec/rapport/que/à/comparer/rivaliser avec/considérer comme/
比	比	bi4		/être proche de/
比劃	比划	bi3 hua4		/faire des signes/faire des gestes/gesticuler/en venir aux mains/
比劃	比划	bi3 hua5	/to gesture/to gesticulate/to practice the moves of a martial art by imitating the teacher/to fight/to come to blows/	/gesticuler/pratiquer les mouvements d'un art martial en imitant l'enseignant/combattre/en venir aux mains/
氆氌	氆氇	pu3 lu1		/drap de laine épaisse du Tibet (phrug)/
氆氌	氆氇	pu3 lu5	/woolen fabric made in Tibet/	
氏	氏	shi4	/clan name/maiden name/	/nom de famille/famille/
氏	氏	zhi1	/see 月氏[Yue4 zhi1] and 閼氏|阏氏[yan1 zhi1]/	
民營企業	民营企业	min2 ying2 qi3 ye4	/privately-operated enterprise/	
民營企業	民营企业	min2 ying2 qi4 ye4		/entreprise privée/
氜	氜	ri4	/old name for 氦[hai4], helium/	
氜	氜	yang2	/old variant of 陽|阳[yang2]/	
氣場	气场	qi4 chang2		/aura/
氣場	气场	qi4 chang3	/qi field (in qigong or feng shui)/vibe (of a person or place); aura; atmosphere/	
汗	汗	han2	/see 可汗[ke4 han2], 汗國|汗国[han2 guo2]/	
汗	汗	han4	/perspiration/sweat/CL:滴[di1],頭|头[tou2],身[shen1]/to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)/	/sueur/transpiration/
沈	沈	chen2	/variant of 沉[chen2]/	/(nom de famille)/
沈	沈	shen3	/surname Shen/	
沓	沓	da2	/classifier for sheets of papers etc: pile, pad/Taiwan pr. [ta4]/	
沓	沓	ta4	/surname Ta//again and again/many/	/accumuler/crue/
河曲	河曲	he2 qu1	/bend (of a river)/meander/	
河曲	河曲	he2 qu3	/Hequ county in Xinzhou 忻州[Xin1 zhou1], Shanxi/	/(xian de) Hequ (Shanxi)/
沼狸	沼狸	zhao3 li2	/meerkat/see 狐獴[hu2 meng3]/	/suricate/
沼狸	沼狸	zhao3 li5	/see 狐獴[hu2 meng3]/	
沿	沿	yan2	/along/to follow (a line, tradition etc)/to carry on/to trim (a border with braid, tape etc)/border/edge/	/le long de/suivant/bord/suivre/longer/
沿	沿	yan4		/berge/bord de rivière/
泌	泌	bi4	/used in 泌陽|泌阳[Bi4 yang2]/	
泌	泌	mi4	/(bound form) to secrete/	/sécréter/
泡子	泡子	pao1 zi5	/small lake/pond/	/petit lac/étang/
泡子	泡子	pao4 zi5	/light bulb/	
泡麵	泡面	pao1 mian4		/nouilles instantanées/
泡麵	泡面	pao4 mian4	/instant noodles/	/nouilles instantanées/
波斯尼亞和黑塞哥維那	波斯尼亚和黑塞哥维那	bo1 si1 ni2 ya4 he2 hei1 sai4 ge1 wei2 na4	/Bosnia and Herzegovina/	
波斯尼亞和黑塞哥維那	波斯尼亚和黑塞哥维那	bo1 si1 ni2 ya4 he4 hei1 sai1 ge1 wei2 na4		/Bosnie-Herzégovine/
洇	洇	yan1	/variant of 湮[yan1]/	
洇	洇	yin1	/to soak/to blotch/to splotch/	
洟	洟	ti4	/nasal mucus/Taiwan pr. [yi2]/	/mucus nasal/
洟	洟	yi2		/larmoiement/pleurnicherie/
活路	活路	huo2 lu4	/through road/way out/way to survive/means of subsistence/	/passage ouvert/moyen de subsistance/moyen d'arriver à son but/
活路	活路	huo2 lu5	/labor/physical work/	
派	派	pa1	/used in 派司[pa1 si5]/	
派	派	pai4	/clique/school/group/faction/to dispatch/to send/to assign/to appoint/pi (Greek letter Ππ)/the circular ratio pi = 3.1415926/(loanword) pie/	/doctrine/école de pensée/groupe/faction/secte/envoyer/dépêcher/répartir/assigner/pi (3,1416)/
流媒體	流媒体	liu2 mei2 ti1		/lecture en continu/
流媒體	流媒体	liu2 mei2 ti3	/streaming media/	/diffusion en continu/en streaming/
浜	浜	bang1	/stream/creek/	
浜	浜	bin1	/Japanese variant of 濱|滨[bin1]/used in Japanese place names such as Yokohama 橫浜|横浜[Heng2 bin1] with phonetic value hama/	/(utilisé phonétiquement en japonais pour des noms de lieu)/
海倫·凱勒	海伦·凯勒	hai3 lun2 · kai3 le1		/Helen Keller/
海倫·凱勒	海伦·凯勒	hai3 lun2 · kai3 le4	/Helen Keller (1880-1968), famous American deaf-blind author and activist (whose story is told in biopic The Miracle Worker)/	/Helen Keller/
涉賄	涉贿	she4 hui1		/être soupçonné de corruption/
涉賄	涉贿	she4 hui4	/to be suspected of bribery/	
涌	涌	chong1	/(used in place names)/	/(utilisé dans les noms de lieu)/
涌	涌	yong3	/variant of 湧|涌[yong3]/	
清亮	清亮	qing1 liang4	/(of sound) clear and resonant; bright/(of eyes) bright/(of water) crystal-clear; limpid/clear (in one's mind)/	/clair/limpide/cristallin/
清亮	清亮	qing1 liang5	/clear/	
測度	测度	ce4 du4	/measure (math.)/	/mesurer/
測度	测度	ce4 duo2	/to estimate/to conjecture/	
湯	汤	shang1	/rushing current/	
湯	汤	tang1	/surname Tang//soup/hot or boiling water/decoction of medicinal herbs/water in which sth has been boiled/	/bouillon/eau chaude/soupe/potage/échauder/(nom de famille)/
湴	湴	ban4	/mud/slush/ooze/	
湴	湴	pan2	/to wade through water or mud/	/patauger dans l'eau ou la boue/
準頭	准头	zhun3 tou2	/(physiognomy) the tip of the nose/	
準頭	准头	zhun3 tou5	/(coll.) accuracy/	
溜	溜	liu1	/to slip away/to escape in stealth/to skate/	/couler/glisser/s'esquiver/partir en douce/glissant/courant/trainée/
溜	溜	liu4	/used in 冰溜[bing1 liu4]/	
滑溜	滑溜	hua2 liu1	/to sauté in sticky sauce/	/faire sauter dans une sauce épaisse/
滑溜	滑溜	hua2 liu5	/smooth/slippery/sticky/	
滫	滫	xiu1		/eau dans laquelle le riz est cuit/
滫	滫	xiu3	/(literary) water that was used to rinse rice and has become smelly; befouled water/	
漂走	漂走	piao1 zou3	/to float away; to drift; to be swept off/	
漂走	漂走	piao4 zou3		/être balayé/flotter au loin/dériver/s'éloigner/
漊	溇	lou2	/see 漊水|溇水[Lou2 Shui3]/	
漊	溇	lu:3	/drizzle/	/bruine/
漩渦	漩涡	xuan2 wo1	/whirlpool/eddy/vortex/(fig.) maelstrom/	/spirale/vortex/tourbillon/remous/
漩渦	漩涡	xuan4 wo1		/tourbillon/
漿糊	浆糊	jiang4 hu4		/pâte/
漿糊	浆糊	jiang4 hu5	/paste/Taiwan pr. [jiang4 hu2]/	
潦	潦	lao3	/flooded/heavy rain/	/grande pluie/
潦	潦	liao2	/used in 潦草[liao2 cao3] and 潦倒[liao2 dao3]/	
潭子	潭子	tan2 zi3	/Tanzi or Tantzu Township in Taichung County 臺中縣|台中县[Tai2 zhong1 Xian4], Taiwan/	
潭子	潭子	tan2 zi5	/deep natural pond/	
潰	溃	hui4	/used in 潰膿|溃脓[hui4 nong2]/Taiwan pr. [kui4]/	
潰	溃	kui4	/(bound form) (of floodwaters) to break through a dam or dike/(bound form) to break through (a military encirclement)/(bound form) to be routed; to be overrun; to fall to pieces/(bound form) to fester; to ulcerate/	/déborder/briser (un encerclement)/rompre/être en déroute/corrompre/pourrir/s'ulcérer/
潵	潵	sa3	/name of a river in Hebei Province//old variant of 撒[sa3]/	
潵	潵	san4	/to disperse water/	/disperser l'eau/
澣	澣	huan3		/nettoyer/se baigner/
澣	澣	wan3		/nettoyer/se baigner/
